,title,sub-category,label_score,has_exclamation,has_question,has_number,mark_count,total_character,original_title
49,viral video duga baku tembak di sleman ini kata polisi,1,1,0,0,0,0,54,"Viral Video Diduga Baku Tembak di Sleman, Ini Kata Polisi"
50,kadi pu dan pn kabupaten mandail natal tahan kejat sumut,1,0,0,0,0,0,56,Kadis PU dan 2 PNS Kabupaten Mandailing Natal Ditahan Kejati Sumut
51,band tolak hak politik ek bupati katingan cabut hakim,1,0,0,0,0,0,53,"Banding Ditolak, Hak Politik Eks Bupati Katingan Dicabut Hakim"
52,gadai sk hal yang wajar dprd surabaya tak banyak bank yang lirik,1,0,0,0,0,0,64,"Gadai SK Hal yang Wajar, DPRD Surabaya: Tak Banyak Bank yang Melirik"
53,karyawan pabrik boneka racun polisi sita sayur nangka,1,0,0,0,0,0,53,"Karyawan Pabrik Boneka Keracunan, Polisi Sita Sayur Nangka"
54,celaka untun kendara di lenteng agung motor lukaluka,1,0,0,0,0,0,52,"Kecelakaan Beruntun 4 Kendaraan di Lenteng Agung, 2 Pemotor Luka-luka"
55,kpk bongkar mafia miga transaksi linta negara tak mudah ungkap,1,0,0,0,0,0,62,"KPK Bongkar Mafia Migas: Transaksi Lintas Negara, Tak Mudah Diungkap"
56,awas di hong kong aktivi joshua wong terbang ke lin,1,0,0,0,0,0,51,"Diawasi di Hong Kong, Aktivis Joshua Wong Terbang ke Berlin"
57,anggota dprd surabaya gadai sk bagai jamin untuk potong gaji,1,0,0,0,0,0,60,Anggota DPRD Surabaya Gadaikan SK Sebagai Jaminan untuk Potong Gaji
58,ical jenguk bj habibi di rspad kita doa yang baik,1,0,0,0,0,0,49,Ical Jenguk BJ Habibie di RSPAD: Kita Doakan yang Terbaik
59,orang dan korporasi jadi sangka karhutla di sumaterakalimantan,1,0,0,0,0,0,62,175 Orang dan 4 Korporasi Jadi Tersangka Karhutla di Sumatera-Kalimantan
60,gubernur edi belum tahu uang miliar milik pemprov hilang,1,0,0,0,0,0,56,Gubernur Edy Belum Tahu Uang Miliaran Milik Pemprov Hilang
61,gilir alumni unn seru tolak revisi uu kpk,1,0,0,0,0,0,41,Giliran Alumni Unnes Serukan Tolak Revisi UU KPK
62,fenomena gadai sk anggota dewan juga jadi di dprd serang,1,0,0,0,0,0,56,Fenomena Gadai SK Anggota Dewan Juga Terjadi di DPRD Serang
63,akademisi dan mahasiswa unair tolak revisi uu kpk,1,0,0,0,0,0,49,Akademisi dan Mahasiswa Unair Tolak Revisi UU KPK
64,pegawai kpk surati fraksi di dpr minta tak pilih capim yang lemah kpk,1,0,0,0,0,0,69,"Pegawai KPK Surati Fraksi di DPR, Minta Tak Pilih Capim yang Lemahkan KPK"
65,waspada ada tipu catut pertamina korban rugi puluh juta,1,1,0,0,0,0,55,"Waspada! Ada Penipuan Catut Pertamina, Korbannya Rugi Puluhan Juta"
66,ekoturism ajar besar dari negara kecil,1,0,0,0,0,0,38,Ekoturisme: Pelajaran Besar dari Negara Kecil
67,refleksi tahun dpd ri oso kami ada untuk daerah,1,0,0,0,0,0,47,"Refleksi 5 Tahun DPD RI, OSO: Kami Ada untuk Daerah"
68,mui riau laku karhutla orang tak taat agama,1,0,0,0,0,0,43,MUI Riau: Pelaku Karhutla Orang Tak Taat Beragama
69,gadai sk anggota dprd jabar terima kredit hingga rp miliar,1,0,0,0,0,0,58,"Gadaikan SK, Anggota DPRD Jabar Terima Kredit hingga Rp 1 Miliar"
70,selundup benih lobster tuju singapura gagal di makassar,1,0,0,0,0,0,55,Penyelundupan 19.253 Benih Lobster Tujuan Singapura Digagalkan di Makassar
71,celaka untun dan truk bakar di cipularang orang luka,1,0,0,0,0,0,52,"Kecelakaan Beruntun dan Truk Terbakar di Cipularang, 2 Orang Luka"
72,banyak berita negatif hnw khawatir moral bangsa indonesia,1,0,0,0,0,0,57,"Banyak Berita Negatif, HNW Khawatirkan Moral Bangsa Indonesia"
73,kpk harap jerat ek dirut petral bisa buka kotak pandora mafia miga,1,0,0,0,0,0,66,KPK Harap Jeratan Eks Dirut Petral Bisa Buka Kotak Pandora Mafia Migas
74,hama tembak jatuh drone israel di jalur gaza,1,0,0,0,0,0,44,Hamas Tembak Jatuh Drone Israel di Jalur Gaza
75,jpu berat kivlan zen damping kuasa hukum dari milit,1,0,0,0,0,0,51,JPU Keberatan Kivlan Zen Didampingi Kuasa Hukum dari Militer
76,jadi sangka ek dirut petral duga terima suap usd juta,1,0,0,0,0,0,53,"Jadi Tersangka, Eks Dirut Petral Diduga Terima Suap USD 2,9 Juta"
77,jaksa duit rp juta dari kivlan zen modal matamatai wiranto dan luhut,1,0,0,0,0,0,68,Jaksa: Duit Rp 25 Juta dari Kivlan Zen Modal Mata-matai Wiranto dan Luhut
78,jaksa kan senpipeluru tajam beli kivlan zen cs ini rinciannya,1,1,0,0,0,0,61,"Jaksa Beberkan Senpi-Peluru Tajam Pembelian Kivlan Zen cs, Ini Rinciannya"
79,dishub minta polda data butuh etl di area luas ganjil genap,1,0,0,0,0,0,59,Dishub Minta Polda Data Kebutuhan E-TLE di Area Perluasan Ganjil Genap
80,polisi olah tkp celaka maut tewas orang di nganjuk,1,0,0,0,0,0,50,Polisi Olah TKP Kecelakaan Maut Tewaskan 3 Orang di Nganjuk
81,uang miliar rupiah milik pemprov sumut hilang polisi turun tangan,1,0,0,0,0,0,65,"Uang Miliaran Rupiah Milik Pemprov Sumut Hilang, Polisi Turun Tangan"
82,menkum ham soal cabut paspor veronica koman ada tentu,1,0,0,0,0,0,53,Menkum HAM soal Cabut Paspor Veronica Koman: Ada Ketentuannya
83,sere qualiti time sama keluarga nyata ini manfaat,1,1,0,0,0,0,49,Sering Quality Time Bersama Keluarga? Ternyata Ini 3 Manfaatnya!
84,menteri jokowi profesion ini kandidat,1,1,0,0,0,0,37,"Menteri Jokowi 55% Profesional, Ini Kandidatnya?"
85,lipi desak jokowi tolak revisi uu kpk yang lumpuh kerja kpk,1,0,0,0,0,0,59,LIPI Desak Jokowi Tolak Revisi UU KPK yang Lumpuhkan Kinerja KPK
86,kasu serang tutup motor naik trotoar tetap tilang,1,0,0,0,0,0,49,"Kasus Penyerangan Ditutup, Pemotor Naik Trotoar Tetap Ditilang"
87,bareskrim tangkap bobol yang rugi bank bumn rp miliar,1,0,0,0,0,0,53,Bareskrim Tangkap 2 Pembobol yang Rugikan Bank BUMN Rp 16 Miliar
88,datang ke bekal caleg pilih demokrat sbi beri arah tutup,1,0,0,0,0,0,56,"Datang ke Pembekalan Caleg Terpilih Demokrat, SBY Beri Arahan Tertutup"
89,aktivi perempuan nilai ruu pk sandera oleh ruu kuhp,1,0,0,0,0,0,51,Aktivis Perempuan Nilai RUU PKS Tersandera oleh RUU KUHP
90,belum identifikasi korban celaka cipularang duga perempuan,1,0,0,0,0,0,58,"Belum Teridentifikasi, 4 Korban Kecelakaan Cipularang Diduga Perempuan"
91,siswi smk bandung tikam dekat sekolah karena tolak cinta laku,1,0,0,0,0,0,61,Siswi SMK Bandung Ditikam Dekat Sekolah karena Tolak Cinta Pelaku
92,sebut pilih capim kpk cacat yuridi ini saran samad ke dpr,1,1,0,0,0,0,57,"Sebut Pemilihan Capim KPK Cacat Yuridis, Ini Saran Samad ke DPR"
93,jika tak kunjung penuh panggil veronica koman bakal jadi dpo,1,0,0,0,0,0,60,"Jika Tak Kunjung Penuhi Panggilan, Veronica Koman Bakal Jadi DPO"
94,pria misteriu jubah putih viral di sumut ingat tuhan murka,1,1,0,0,0,0,58,"Pria Misterius Berjubah Putih Viral di Sumut, Ingatkan 'Tuhan Murka'"
95,adik soal hoax habibi meningg mbok jangan gitu iseng,1,0,0,0,0,0,52,Adik soal Hoax Habibie Meninggal: Mbok Jangan Gitu Isengnya
96,jk bicara perlu kpk punya sp contoh kasu rj lino,1,0,0,0,0,0,48,"JK Bicara Perlunya KPK Punya SP3, Contohkan Kasus RJ Lino"
97,tidur siang kali minggu kurang mungkin serang jantung,1,0,0,0,0,0,53,Tidur Siang 1-2 Kali Seminggu Kurangi Kemungkinan Serangan Jantung
98,polisi simpul bo sembako di cilegon tewa bunuh diri,1,0,0,0,0,0,51,Polisi Simpulkan Bos Sembako di Cilegon Tewas Bunuh Diri
99,tengok pantai mustika banyuwangi,1,0,0,0,0,0,32,Menengok Pantai Mustika Banyuwangi
100,asap pekat selimut riau pemprov gelar salat minta hujan besok,1,0,0,0,0,0,61,"Asap Pekat Selimuti Riau, Pemprov Gelar Salat Minta Hujan Besok"
101,soal kontrak politik capim kpk fahri sebut agar taat undangundang,1,0,0,0,0,0,65,"Soal Kontrak Politik Capim KPK, Fahri Sebut Agar Taat Undang-Undang"
102,caketum hipmi usaha ri haru punya jiwa nasionalism yang kuat,1,0,0,0,0,0,60,Caketum HIPMI: Pengusaha RI Harus Punya Jiwa Nasionalisme yang Kuat
103,kpu solo aju dana rp m untuk pilwalkot,1,0,0,0,0,0,38,"KPU Solo Ajukan Dana Rp 17,8 M untuk Pilwalkot 2020"
104,utus khusu presiden akan gelar muna tokoh antaragama,1,0,0,0,0,0,52,Utusan Khusus Presiden akan Gelar Munas Tokoh Antaragama
105,panggil veronica koman polisi tunggu hingga dua pekan ke depan,1,0,0,0,0,0,62,"Panggil Veronica Koman, Polisi Tunggu Hingga Dua Pekan ke Depan"
106,kpk tetap ek jabat pertamina energi sangka mafia miga,1,0,0,0,0,0,53,KPK Tetapkan Eks Pejabat Pertamina Energy Tersangka Mafia Migas
107,peluk istri belum jalan sidang kivlan zen tang,1,0,0,0,0,0,46,"Dipeluk Istri Sebelum Jalani Sidang, Kivlan Zen Menangis"
108,video porno di sumedang sebar per pria apa motif,1,1,0,0,0,0,48,"Video Porno di Sumedang Disebar Pemeran Pria, Apa Motifnya?"
109,icw jangan taruh kpk pak jokowi,1,0,0,0,0,0,31,"ICW: Jangan Pertaruhkan KPK, Pak Jokowi"
110,ungkap video porno di sumedang peran pasang selingkuh,1,1,0,0,0,0,53,Terungkap! Video Porno di Sumedang Diperankan Pasangan Selingkuh
111,bocah di bekas sebut tewa karena bulli kpad imbau keluarga lapor,1,0,0,0,0,0,64,"Bocah di Bekasi Disebut Tewas karena Bully, KPAD Imbau Keluarga Melapor"
112,jk soal revisi uu kpk tuntut tak perlu koordinasi dengan jaksa agung,1,0,0,0,0,0,68,JK soal Revisi UU KPK: Penuntutan Tak Perlu Koordinasi dengan Jaksa Agung
113,komisi iii dpr pasti tampung semua masuk soal capim kpk,1,0,0,0,0,0,55,Komisi III DPR Pastikan Tampung Semua Masukan soal Capim KPK
114,tokoh papua yang undang jokowi ek tims istana betul saja,1,0,0,0,0,0,56,"Tokoh Papua yang Diundang Jokowi Eks Timses, Istana: Kebetulan Saja"
115,wagub jabar minta kerja di lingkung pemprov jabar daftar bpj tk,1,0,0,0,0,0,63,Wagub Jabar Minta Pekerja di Lingkungan Pemprov Jabar Daftar BPJS TK
116,anak dan cucu kumpul teman bj habibi di rspad gatot soebroto,1,0,0,0,0,0,60,Anak dan Cucu Berkumpul Temani BJ Habibie di RSPAD Gatot Soebroto
117,garagara puntung rokok hektar lahan di sulteng bakar,1,0,0,0,0,0,52,"Gara-gara Puntung Rokok, 28 Hektare Lahan di Sulteng Terbakar"
118,topan faxai hantam jepang tumpang telantar di bandara narita,1,0,0,0,0,0,60,"Topan Faxai Hantam Jepang, 17.000 Penumpang Telantar di Bandara Narita"
119,gajah amuk ketika ikut festiv agama di sri lanka luka,1,0,0,0,0,0,53,"Gajah Mengamuk Ketika Ikut Festival Agama di Sri Lanka, 18 Terluka"
120,waduk pacal di bojonegoro surut lahan tani di camat kering,1,0,0,0,0,0,58,"Waduk Pacal di Bojonegoro Surut, Lahan Pertanian di 4 Kecamatan Kekeringan"
121,komisi iii dpr gelar rdpu tampung masuk soal seleksi capim kpk,1,0,0,0,0,0,62,Komisi III DPR Gelar RDPU Tampung Masukan soal Seleksi Capim KPK
122,detikdetik cekam ampo di rumah makan grati untuk duafa di bogor,1,1,0,0,0,0,63,Detik-detik Mencekam Perampokan di Rumah Makan Gratis untuk Duafa di Bogor
123,hut ke brigif raider ziarah ke makam bupati galuh ciami,1,0,0,0,0,0,55,"HUT ke-70, Brigif Raider 13 Ziarah ke Makam Bupati Galuh Ciamis"
124,pesan kpk ke jokowi bangun tak capai jika masih gerogot korupsi,1,0,0,0,0,0,63,Pesan KPK ke Jokowi: Pembangunan Tak Tercapai Jika Masih Digerogoti Korupsi
125,guru tinggi muhammadiyah indonesia tolak revisi uu kpk,1,0,0,0,0,0,54,40 Perguruan Tinggi Muhammadiyah se-Indonesia Tolak Revisi UU KPK
126,langgar tilang di hari perdana luas ganjilgenap kemarin,1,0,0,0,0,0,55,1.904 Pelanggar Ditilang di Hari Perdana Perluasan Ganjil-Genap Kemarin
127,rawat intensif di rspad bj habibi salat sambil bar,1,0,0,0,0,0,50,"Dirawat Intensif di RSPAD, BJ Habibie Salat Sambil Berbaring"
128,bulan lagi polrestab surabaya punya tempat parkir tingkat,1,0,0,0,0,0,57,4 Bulan Lagi Polrestabes Surabaya Punya Tempat Parkir Bertingkat
129,pek lantik anggota dprd jabar gadai sk ke bank,1,0,0,0,0,0,46,"Sepekan Dilantik, Anggota DPRD Jabar Gadai SK ke Bank"
130,poyuono jela pemerintahdpr revisi uu kpk agar mudah rampok uang negara,1,0,0,0,0,0,70,"Poyuono: Jelas, Pemerintah-DPR Revisi UU KPK Agar Mudah Rampok Uang Negara"
131,ratus mahasiswa surabaya dukung revisi uu kpk,1,0,0,0,0,0,45,Ratusan Mahasiswa Surabaya Dukung Revisi UU KPK
132,abraham samad jokowi haru minta dpr setop bahas revisi uu kpk,1,0,0,0,0,0,61,Abraham Samad: Jokowi Harus Minta DPR Setop Pembahasan Revisi UU KPK
133,satga karhutla investigasi sebab bakar kebun tebu ptpn vii ogan ilir,1,0,0,0,0,0,68,Satgas Karhutla Investigasi Penyebab Kebakaran Kebun Tebu PTPN VII Ogan Ilir
134,fenomena anggota dewan gadai sk di dprd surabaya juga ada,1,0,0,0,0,0,57,"Fenomena Anggota Dewan Gadaikan SK, di DPRD Surabaya Juga Ada"
135,ani anggap baik udara jakarta lewat ganjil genap tak bisa instan,1,0,0,0,0,0,64,Anies Anggap Perbaikan Udara Jakarta Lewat Ganjil Genap Tak Bisa Instan
136,tepi kabar bulli polisi sebut bocah meningg di bekas akibat tetanu,1,0,0,0,0,0,66,"Tepis Kabar Bully, Polisi Sebut Bocah Meninggal di Bekasi Akibat Tetanus"
137,tokoh papua bicara ke jokowi soal saing duduk dan lingkung,1,0,0,0,0,0,58,Tokoh Papua Bicara ke Jokowi soal Persaingan Penduduk dan Lingkungan
138,kritik revisi uu kpk rektor ipbpemuka agama tolak lemah kpk,1,0,0,0,0,0,59,"Kritik Revisi UU KPK, Rektor IPB-Pemuka Agama Tolak Pelemahan KPK"
139,galang biaya ibu kota baru,1,0,0,0,0,0,26,Menggalang Pembiayaan Ibu Kota Baru
140,pasu kostrad kerah untuk tangkap laku karhutla di riau,1,0,0,0,0,0,54,Pasukan Kostrad Dikerahkan untuk Tangkap Pelaku Karhutla di Riau
141,cerita warga di jepara mandi hari sekali akibat kering,1,0,0,0,0,0,54,"Cerita Warga di Jepara, Mandi Sehari Sekali Akibat Kekeringan"
142,kendara listrik beba dari atur ganjilgenap ini alas,1,1,0,0,0,0,51,"Kendaraan Listrik Bebas dari Aturan Ganjil-Genap, Ini Alasannya"
143,satusatunya korban selamat celaka maut di nganjuk ciduk kasu narkoba,1,0,0,0,0,0,68,Satu-satunya Korban Selamat Kecelakaan Maut di Nganjuk Diciduk Kasus Narkoba
144,jokowi terbang dari aceh ke wamena jauh seperti london ke istanbul,1,0,0,0,0,0,66,Jokowi Terbang dari Aceh ke Wamena: Jauhnya Seperti London ke Istanbul
145,home industri arak di sidoarjo gerebek dua orang aman,1,0,0,0,0,0,53,"Home Industry Arak di Sidoarjo Digerebek, Dua Orang Diamankan"
146,jokowi ke papua lagi pale telat oktob resmi jembatan holtekamp,1,0,0,0,0,0,62,"Jokowi ke Papua Lagi Paling Telat Oktober, Resmikan Jembatan Holtekamp"
147,ada ganjil genap ani sebut guna angkut umum capai rekor,1,0,0,0,0,0,55,"Ada Ganjil Genap, Anies Sebut Pengguna Angkutan Umum Capai Rekor"
148,trump umum runding damai dengan talib sudah mati,1,0,0,0,0,0,48,Trump Umumkan Perundingan Damai dengan Taliban Sudah Mati
149,nanti bijak gila jokowi,1,1,0,0,0,0,23,"Menanti ""Kebijakan Gila"" Jokowi"
150,jokowi janji sarjana papua kerja di bumnperusahaan besar,1,0,0,0,0,0,56,Jokowi Janjikan 1.000 Sarjana Papua Bekerja di BUMN-Perusahaan Besar
151,ibu bayi yang kakitangannya putu di tangerang serah diri ke polisi,1,0,0,0,0,0,66,Ibu Bayi yang Kaki-Tangannya Putus di Tangerang Serahkan Diri ke Polisi
152,lihat ke belakang usut kpk soal mafia miga kait petral,1,0,0,0,0,0,54,Melihat ke Belakang Pengusutan KPK soal Mafia Migas terkait Petral
153,banyuwangi dan awat kolaborasi bikin sehat usaha wisata warga,1,0,0,0,0,0,61,Banyuwangi dan Perawat Kolaborasi Bikin Sehat Usaha Wisata Warga
154,dua korban celaka maut di nganjuk nyata dpo kasu narkoba,1,0,0,0,0,0,56,Dua Korban Kecelakaan Maut di Nganjuk Ternyata DPO Kasus Narkoba
155,kabut asap bikin terbang di banjarmasin ganggu,1,0,0,0,0,0,46,Kabut Asap Bikin Penerbangan di Banjarmasin Terganggu
156,tokoh papua minta jokowi bangun istana presiden di papua,1,0,0,0,0,0,56,Tokoh Papua Minta Jokowi Bangun Istana Presiden di Papua
157,jaksa kpk minta ma tolak pk novanto,1,0,0,0,0,0,35,Jaksa KPK Minta MA Tolak PK Novanto
158,akhir pemkot pekanbaru libur sd dan smp karena kabut asap,1,1,0,0,0,0,57,Akhirnya! Pemkot Pekanbaru Liburkan SD dan SMP karena Kabut Asap
159,video porno pasang dewasa geger sumedang,1,0,0,0,0,0,40,Video Porno Pasangan Dewasa Gegerkan Sumedang
160,tata cara umroh urut dan baca,1,0,0,0,0,0,29,"Tata Cara Umroh, Urutan, dan Bacaannya"
161,persen dewan ciami gadai sk ketua daripada curi uang negara,1,0,0,0,0,0,59,"40 Persen Dewan Ciamis Gadaikan SK, Ketua: Daripada Mencuri Uang Negara"
162,putar celaka maut di jalur nganjukmadiun yang tewas orang,1,0,0,0,0,0,57,Seputar Kecelakaan Maut di Jalur Nganjuk-Madiun yang Tewaskan 3 Orang
163,pj walkot makassar sebut rili edar antisipasi syiah rekomendasi mui,1,0,0,0,0,0,67,PJ Walkot Makassar Sebut Rilis Edaran Antisipasi Syiah Rekomendasi MUI
164,pimpin iba demokrat gelar bekal anggota legislatif,1,0,0,0,0,0,50,"Dipimpin Ibas, Demokrat Gelar Pembekalan Anggota Legislatif 2019-2024"
165,jokowi tahun depan istana presiden di papua mulai bangun,1,0,0,0,0,0,56,Jokowi: Tahun Depan Istana Presiden di Papua Mulai Dibangun
166,jokowi undang tokoh papua ke istana hari ini,1,0,0,0,0,0,44,Jokowi Undang Tokoh Papua ke Istana Hari Ini
167,china geram ata nyata menlu as soal laku hadap uighur,1,0,0,0,0,0,53,China Geram Atas Pernyataan Menlu AS Soal Perlakuan terhadap Uighur
168,oso soal revisi uu kpk tentu kita tidak akan lemah,1,0,0,0,0,0,50,OSO soal Revisi UU KPK: Tentunya Kita Tidak akan Melemahkan
169,langgar tilang di jakbar alas tidak tahu ganjil genap,1,0,0,0,0,0,53,"154 Pelanggar Ditilang di Jakbar, Alasannya Tidak Tahu Ganjil Genap"
