title;label_score;link;tahun
Viral Puluhan Siswa Ricuh Saling Lempar Helm-Sepatu di SMK di Karawaci;1;Viral Puluhan Siswa Ricuh Saling Lempar Helm-Sepatu di SMK di Karawaci (detik.com);2021
Bikin Publik Tak Terima, Patung Cristiano Ronaldo Di India Tuai Kontroversi;1;Bikin Publik Tak Terima, Patung Cristiano Ronaldo di India Tuai Kontroversi (wowkeren.com);2021
Pamer Foto Kelewat Mesra, Rossa Dan Afgan Justru Diramal Putus Di Tahun 2022?;1;Pamer Foto Kelewat Mesra, Rossa dan Afgan Justru Diramal Putus di Tahun 2022? (wowkeren.com);2021
Pasrah, Ivan Gunawan Ngenes Banget Lihat Kelakuan Bobrok Ayu Ting Ting Pada Sang 'Anak' Boneka;1;Pasrah, Ivan Gunawan Ngenes Banget Lihat Kelakuan Bobrok Ayu Ting Ting Pada Sang 'Anak' Boneka (wowkeren.com);2021
Rugikan Negara Rp3,1 M, Adik Irwansyah Terancam Hukuman Mengerikan Ini Hingga Dijemput Paksa;1;Rugikan Negara Rp3,1 M, Adik Irwansyah Terancam Hukuman Mengerikan Ini Hingga Dijemput Paksa (wowkeren.com);2021
Kementerian Pertahanan Gelar Indo Defence 2022 Expo & Forum, Pameran Industri Pertahanan Bertaraf Internasional;0;Kementerian Pertahanan Gelar Indo Defence 2022 Expo & Forum, Pameran Industri Pertahanan Bertaraf Internasional (kompas.com);2022
Muhammadiyah Tetapkan Hari Raya Idul Adha Jatuh pada Sabtu, 9 Juli 2022;0;Muhammadiyah Tetapkan Hari Raya Idul Adha Jatuh pada Sabtu, 9 Juli 2022 (kompas.com);2022
Prabowo Subianto Kembali Pimpin Cabor Pencak Silat;0;Prabowo Subianto Kembali Pimpin Cabor Pencak Silat (detik.com);2022
Ini 4 Arahan Terbaru Jokowi soal Evaluasi PPKM di Tengah Lonjakan COVID;0;Ini 4 Arahan Terbaru Jokowi soal Evaluasi PPKM di Tengah Lonjakan COVID (detik.com);2022
Satu-satunya Mobil Endang Tirtana, Komisaris Baru PT KAI Berharta Rp 10 M;0;Satu-satunya Mobil Endang Tirtana, Komisaris Baru PT KAI Berharta Rp 10 M (detik.com);2021
Viral Bocah Yatim Jualan di Pinggir Jalanan Solo, Ini Kata Gibran;1;Viral Bocah Yatim Jualan di Pinggir Jalanan Solo, Ini Kata Gibran (detik.com);2021
Geger! Bayi Kambing Lahir Berwajah Mirip Manusia;1;Geger! Bayi Kambing Lahir Berwajah Mirip Manusia (detik.com);2021
Rugikan Negara Rp3,1 M, Adik Irwansyah Terancam Hukuman Mengerikan Ini Hingga Dijemput Paksa;1;Rugikan Negara Rp3,1 M, Adik Irwansyah Terancam Hukuman Mengerikan Ini Hingga Dijemput Paksa (wowkeren.com);2021
Chika Adik Tiri Vanessa Angel Kena Mental Dituding Jiplak Fuji, Jawabi Isu Ibu Dugem Di Alexis?;1;Chika Adik Tiri Vanessa Angel Kena Mental Dituding Jiplak Fuji, Jawabi Isu Ibu Dugem di Alexis? (wowkeren.com);2021
Viral Wahana Tornado Dufan Berhenti di Atas, Pengunjung Dievakuasi;1;Viral Wahana Tornado Dufan Berhenti di Atas, Pengunjung Dievakuasi (detik.com);2022
Gaji Ronaldo Rp 3,3T, Bisa Beli iPhone 14 dan PS5 Seberapa Banyak?;1;Gaji Ronaldo Rp 3,3T, Bisa Beli iPhone 14 dan PS5 Seberapa Banyak? (detik.com);2022
Video: Horor Hujan Es 'Bombardir' Persawahan di Jeneponto;1;Video: Horor Hujan Es 'Bombardir' Persawahan di Jeneponto (detik.com);2022
Viral Nasi Semangkuk Setara 3 Sdm Gula, Betulkah Nasi Baru Matang Bikin Gemuk?;1;Viral Nasi Semangkuk Setara 3 Sdm Gula, Betulkah Nasi Baru Matang Bikin Gemuk? (detik.com);2022
Viral! Monyet Ragunan Ini 'Curi' HP, Muka Pengunjung Langsung Ngenes;1;Viral! Monyet Ragunan Ini 'Curi' HP, Muka Pengunjung Langsung Ngenes (detik.com);2022
Lahar Dingin Semeru Luber ke Jalan Sebabkan Jembatan Putus, Warga Berlarian;0;Lahar Dingin Semeru Luber ke Jalan Sebabkan Jembatan Putus, Warga Berlarian (detik.com);2023
Arsenal di Era Mikel Arteta: Belanja Rp 11 Triliun;0;Arsenal di Era Mikel Arteta: Belanja Rp 11 Triliun (detik.com);2023
Effendi Simbolon Mau RI Dinakhodai Pemimpin Handal: Ada di Pak Prabowo;0;Effendi Simbolon Mau RI Dinakhodai Pemimpin Handal: Ada di Pak Prabowo (detik.com);2023
Ratusan Korban Kebakaran di Setiabudi Mengungsi di RPTRA Kebon Sawo Malam Ini;0;Ratusan Korban Kebakaran di Setiabudi Mengungsi di RPTRA Kebon Sawo Malam Ini (kompas.com);2023
Kades di Dompu Dipanggil Polisi Terkait Kasus Korupsi, Warga Blokade Jalan;0;Kades di Dompu Dipanggil Polisi Terkait Kasus Korupsi, Warga Blokade Jalan (kompas.com);2023
2.000 Warga Korban Bencana di Bogor Masih Tinggal di Huntara;0;2.000 Warga Korban Bencana di Bogor Masih Tinggal di Huntara - Kompas.id;2023
Terkait Kasus Antraks, Pakar UGM: Bahaya Menyembelih Ternak Sakit;0;Terkait Kasus Antraks, Pakar UGM: Bahaya Menyembelih Ternak Sakit (kompas.com);2023
OJK Masih Awasi 11 Perusahaan Asuransi Bermasalah;0;OJK Masih Awasi 11 Perusahaan Asuransi Bermasalah (kompas.com);2023
BPJS Kesehatan Raih 2 Penghargaan untuk Transformasi Digital Layanan JKN;0;BPJS Kesehatan Raih 2 Penghargaan untuk Transformasi Digital Layanan JKN (kompas.com);2023
Tesla PHK Pekerja di Pabrik China;0;Tesla PHK Pekerja di Pabrik China (kompas.com);2023
2 Remaja di Sumbar Diduga Jadi Korban Salah Tangkap, Ngaku Disiksa Polisi;1;2 Remaja di Sumbar Diduga Jadi Korban Salah Tangkap, Ngaku Disiksa Polisi (detik.com);2023
Ketahuan Selingkuh, Suami Tusuk Istri Sampai Meninggal di Lebak Banten;1;Ketahuan Selingkuh, Suami Tusuk Istri Sampai Meninggal di Lebak Banten - News Liputan6.com;2023
Viral Kabar BI Terbitkan Uang Redenominasi, Simak Deretan Faktanya;1;Viral Kabar BI Terbitkan Uang Redenominasi, Simak Deretan Faktanya - Cek Fakta Liputan6.com;2023
Viral di Medsos, Baru Sehari Menikah Pengantin Perempuan di Bogor Hilang;1;Viral di Medsos, Baru Sehari Menikah Pengantin Perempuan di Bogor Hilang - Tekno Liputan6.com;2023
Orderannya Tertukar, Momen Driver Ojol Kejar Penumpangnya di Jalanan Ini Kocak;1;Orderannya Tertukar, Momen Driver Ojol Kejar Penumpangnya di Jalanan Ini Kocak - Hot Liputan6.com;2023
Viral 2 Anak Cianjur Curhat Ibu Disekap dan Dijadikan PSK di Dubai;1;Viral 2 Anak Cianjur Curhat Ibu Disekap dan Dijadikan PSK di Dubai (detik.com);2023
Disebut Kejam oleh Inara Rusli, Eva Manurung Bereaksi Bongkar Momen saat Istri Virgoun Melahirkan;1;Disebut Kejam oleh Inara Rusli, Eva Manurung Bereaksi Bongkar Momen saat Istri Virgoun Melahirkan - TribunNews.com;2023
Britney Spears Ditampar Sekuriti Bintang NBA saat Ingin Minta Foto: Pengalaman Traumatis;1;Britney Spears Ditampar Sekuriti Bintang NBA saat Ingin Minta Foto: Pengalaman Traumatis - TribunNews.com;2023
Banjir Hujatan Jelang Dinikahi Denny Caknan, Bella Bonita Singgung Sosok Manipulatif;1;Banjir Hujatan Jelang Dinikahi Denny Caknan, Bella Bonita Singgung Sosok Manipulatif - TribunNews.com;2023
Viral Nenek Dituduh Curi 20 Buah Kelapa Milik Sendiri: Dilaporkan Tetangga dan Dimintai Uang Damai;1;Viral Nenek Dituduh Curi 20 Buah Kelapa Milik Sendiri: Dilaporkan Tetangga dan Dimintai Uang Damai - TribunNews.com;2023
Susi ART Ferdy Sambo Mendadak Viral Lagi, Mengaku Rindu Sang Majikan Sambo dan Putri Candrawathi;1;Susi ART Ferdy Sambo Mendadak Viral Lagi, Mengaku Rindu Sang Majikan Sambo dan Putri Candrawathi - TribunNews.com;2023
Gigih Berakting Meninggal selama 321 Hari, Pria Ini Akhirnya Dapat Tawaran Jadi Mayat di Serial TV;1;Gigih Berakting Meninggal selama 321 Hari, Pria Ini Akhirnya Dapat Tawaran Jadi Mayat di Serial TV - TribunNews.com;2023
8 Zodiak Paling Beruntung Hari Ini Jumat 7 Juni 2023: Aries Raih Kekayaan - Pisces Hargai Bantuan;1;https://manado.tribunnews.com/2023/07/07/8-zodiak-paling-beruntung-hari-ini-jumat-7-juni-2023-aries-raih-kekeyaan-pisces-hargai-bantuan;2023
Daftar Presiden Indonesia yang Lahir Bulan Juni, Jokowi Termasuk?;1;https://www.detik.com/edu/detikpedia/d-6766238/stok-weekend-daftar-presiden-indonesia-yang-lahir-bulan-juni-jokowi-termasuk;2023
Pegawai Dapat Fasilitas Tempat Tinggal di Atas Rp 2 Juta/Bulan Kena Pajak;0;https://finance.detik.com/berita-ekonomi-bisnis/d-6811204/pegawai-dapat-fasilitas-tempat-tinggal-di-atas-rp-2-jutabulan-kena-pajak;2023
KPK Ungkap Korban Pungli Rp 4 M di Rutan Capai Puluhan Orang;0;https://news.detik.com/berita/d-6795829/kpk-ungkap-korban-pungli-rp-4-m-di-rutan-capai-puluhan-orang;2023
;;;
;;;
;;;
